# timestamp x y z qx qy qz qw
# vloam_depth_vo.m -- V-LOAM depth-anchored VO, scala metrica da LiDAR (non arbitraria come monovslam_test.m)
# 3438/3467 passi con >=1 corrispondenza a profondita' nota; il resto porta avanti la scala per inerzia (eq. 4 sola, epipolare)
1785426665.003766 -0.196332 0.017450 0.071015 0.028598925 0.019670059 0.051791268 0.998054535
1785426665.103766 -0.196331 0.017449 0.071020 0.028593567 0.019684953 0.051765753 0.998055719
1785426665.203766 -0.196329 0.017417 0.071297 0.028594911 0.019650950 0.051812087 0.998053946
1785426665.303766 -0.196165 0.017442 0.071693 0.028581518 0.019616395 0.051898146 0.998050538
1785426665.403766 -0.196148 0.017430 0.071726 0.028620960 0.019643176 0.051829178 0.998052465
1785426665.503766 -0.196207 0.017402 0.071844 0.028648710 0.019648671 0.051846956 0.998050637
1785426665.603766 -0.196211 0.017401 0.071860 0.028666314 0.019670158 0.051825372 0.998050829
1785426665.703766 -0.196053 0.017369 0.072423 0.028673767 0.019662732 0.051860589 0.998048932
1785426665.803766 -0.196042 0.017369 0.072456 0.028695834 0.019634989 0.051905183 0.998046526
1785426665.903766 -0.196049 0.017378 0.072553 0.028691469 0.019582379 0.052017026 0.998041862
1785426666.003766 -0.195829 0.017376 0.073073 0.028685093 0.019553314 0.052084193 0.998039113
1785426666.103766 -0.195829 0.017376 0.073075 0.028698068 0.019532937 0.052127519 0.998036877
1785426666.203766 -0.195828 0.017376 0.073076 0.028668116 0.019502653 0.052208665 0.998034088
1785426666.303766 -0.195905 0.017368 0.073188 0.028689983 0.019505439 0.052239452 0.998031794
1785426666.403766 -0.195918 0.017368 0.073212 0.028722081 0.019527297 0.052217683 0.998031583
1785426666.503766 -0.195918 0.017368 0.073212 0.055988161 0.021156531 0.130849137 0.989593972
1785426666.603766 -0.195919 0.017368 0.073212 0.056063894 0.021258697 0.130727343 0.989603592
1785426666.703766 -0.195919 0.017368 0.073212 0.064037812 0.027543704 0.162266880 0.984281445
1785426666.803766 -0.195920 0.017362 0.073223 0.064073895 0.027571448 0.162302596 0.984272431
1785426666.903766 -0.195921 0.017362 0.073224 0.064074914 0.027543605 0.162311475 0.984271680
1785426667.003766 -0.195926 0.017358 0.073232 0.064091773 0.027532270 0.162323505 0.984268916
1785426667.103766 -0.195977 0.017334 0.073298 0.064093038 0.027520618 0.162340672 0.984266328
1785426667.203766 -0.195996 0.017328 0.073322 0.064106121 0.027523373 0.162357200 0.984262673
1785426667.303766 -0.196013 0.017324 0.073342 0.064139761 0.027448097 0.162456079 0.984246268
1785426667.403766 -0.196014 0.017325 0.073343 0.064306763 0.027683283 0.162138735 0.984281112
1785426667.503766 -0.196024 0.017325 0.073356 0.064343748 0.027665411 0.162186515 0.984271325
1785426667.603766 -0.196030 0.017320 0.073365 0.064342367 0.027708220 0.162149285 0.984276345
1785426667.703766 -0.248950 0.040410 0.085138 0.068779397 0.032302903 0.164887541 0.983380911
1785426667.803766 -0.248960 0.040364 0.085165 0.068764141 0.032310819 0.164889030 0.983381468
1785426667.903766 -0.248962 0.040359 0.085177 0.068759290 0.032421741 0.164912977 0.983374141
1785426668.003766 -0.248969 0.040363 0.085184 0.068733280 0.032318169 0.164870310 0.983386523
1785426668.103766 -0.248969 0.040359 0.085188 0.068731862 0.032379872 0.164898545 0.983379858
1785426668.203766 -0.248970 0.040359 0.085189 0.068733704 0.032484774 0.164891287 0.983377487
1785426668.303766 -0.248970 0.040359 0.085189 0.068862678 0.034737832 0.165386241 0.983208323
1785426668.403766 -0.280190 0.015061 0.133511 0.066757707 0.038075578 0.165437513 0.983221281
1785426668.503766 -0.280190 0.015061 0.133511 0.066726950 0.036301747 0.166122399 0.983174982
1785426668.603766 -0.280190 0.015061 0.133511 0.065945418 0.038798624 0.167567380 0.982887095
1785426668.703766 -0.280190 0.015061 0.133511 0.066999348 0.038791558 0.167546006 0.982819738
1785426668.803766 -0.280190 0.015061 0.133512 0.068048805 0.037115264 0.166862484 0.982928649
1785426668.903766 -0.280188 0.015060 0.133514 0.068077987 0.035783524 0.166581195 0.983023719
1785426669.003766 -0.280188 0.015060 0.133514 0.068075518 0.038559261 0.167450847 0.982771144
1785426669.103766 -0.280188 0.015060 0.133514 0.068713060 0.037909206 0.166941587 0.982838702
1785426669.203766 -0.280188 0.015060 0.133515 0.068852742 0.039891347 0.167381630 0.982675618
1785426669.303766 -0.280188 0.015060 0.133515 0.068871170 0.041467640 0.168234317 0.982463440
1785426669.403766 -0.280188 0.015060 0.133515 0.068151719 0.043918627 0.169937513 0.982113913
1785426669.503766 -0.280188 0.015060 0.133515 0.067512146 0.046647339 0.171127117 0.981825670
1785426669.603766 -0.280188 0.015060 0.133515 0.067057183 0.049363684 0.172071582 0.981558929
1785426669.703766 -0.280188 0.015060 0.133515 0.066379205 0.051975298 0.172765222 0.981348331
1785426669.803766 -0.280188 0.015060 0.133515 0.065760127 0.054897720 0.173392133 0.981120285
1785426669.903766 -0.280188 0.015060 0.133515 0.066174431 0.054806643 0.173211971 0.981129344
1785426670.003766 -0.280188 0.015060 0.133515 0.067676976 0.054221725 0.173049050 0.981088099
1785426670.103766 -0.280187 0.015060 0.133519 0.067151576 0.053275719 0.172950507 0.981193399
1785426670.203766 -0.280186 0.015059 0.133521 0.066636944 0.052547748 0.172814729 0.981291660
1785426670.303766 -0.280179 0.015056 0.133544 0.066445336 0.052178059 0.172966987 0.981297554
1785426670.403766 -0.280179 0.015056 0.133544 0.066622837 0.051178349 0.173088795 0.981316689
1785426670.503766 -0.280179 0.015056 0.133544 0.066363689 0.050567363 0.173507166 0.981292039
1785426670.603766 -0.280177 0.015055 0.133553 0.066240128 0.050244035 0.173649907 0.981291747
1785426670.703766 -0.280177 0.015055 0.133553 0.066497207 0.049458736 0.173352063 0.981366913
1785426670.803766 -0.280176 0.015055 0.133554 0.066423718 0.048166861 0.173198321 0.981463288
1785426670.903766 -0.280176 0.015055 0.133554 0.065741048 0.048051688 0.173211287 0.981512608
1785426671.003766 -0.280176 0.015055 0.133554 0.065013271 0.047930809 0.173094288 0.981587632
1785426671.103766 -0.280176 0.015055 0.133554 0.064708727 0.048122063 0.172849682 0.981641500
1785426671.203766 -0.254160 -0.004209 0.291706 0.064901721 0.047952478 0.172859037 0.981635411
1785426671.303766 -0.254160 -0.004209 0.291706 0.065256712 0.048040071 0.173219328 0.981544078
1785426671.403766 -0.254160 -0.004209 0.291706 0.065011987 0.048069245 0.173639019 0.981484732
