sample_idx,zed_file,zed_epoch,posetum_row_idx,posetum_epoch,posetum_delta_s,cloud_ordinal,cloud_delta_s,n_points_exported
55,right_000550.png,1785426867.626766,82,1785426867.7055113,0.07874536514282227,1119,0.07874536514282227,2447
56,right_000560.png,1785426871.607766,85,1785426871.9022346,0.29446864128112793,1139,0.09170699119567871,2196
57,right_000570.png,1785426875.6217659,88,1785426876.1057782,0.4840123653411865,1159,0.08005213737487793,2063
58,right_000580.png,1785426879.635766,91,1785426880.301368,0.6656019687652588,1179,0.0674734115600586,2260
59,right_000590.png,1785426883.615766,92,1785426881.7048104,-1.9109556674957275,1199,0.08855891227722168,2353
60,right_000600.png,1785426887.629766,93,1785426888.5051432,0.8753771781921387,1219,0.0753333568572998,2316
61,right_000610.png,1785426891.610766,94,1785426890.9047506,-0.7060153484344482,1239,0.09292101860046387,2546
62,right_000620.png,1785426895.6247659,97,1785426895.9029903,0.27822446823120117,1259,0.07682657241821289,2025
63,right_000630.png,1785426899.605766,99,1785426899.103587,-0.5021791458129883,1279,0.09625744819641113,2280
64,right_000640.png,1785426903.619766,102,1785426903.7038443,0.08407831192016602,1299,0.08407831192016602,2634
65,right_000650.png,1785426907.633766,104,1785426907.3016288,-0.3321371078491211,1319,0.07132983207702637,2564
66,right_000660.png,1785426911.613766,106,1785426910.905069,-0.7086968421936035,1339,0.08484911918640137,2315
67,right_000670.png,1785426915.628766,108,1785426915.102211,-0.526555061340332,1359,0.07646036148071289,2433
68,right_000680.png,1785426919.608766,110,1785426919.9034832,0.29471707344055176,1379,0.09642577171325684,2746
69,right_000690.png,1785426923.656766,112,1785426924.5030184,0.84625244140625,1399,0.045752525329589844,2191
70,right_000700.png,1785426927.603766,113,1785426926.5042968,-1.0994691848754883,1418,-0.0997767448425293,2213
71,right_000710.png,1785426931.651766,115,1785426931.900692,0.24892592430114746,1439,0.05333733558654785,2566
72,right_000720.png,1785426935.631766,116,1785426934.5031447,-1.1286213397979736,1459,0.06819868087768555,2712
73,right_000730.png,1785426939.612766,117,1785426939.70178,0.08901405334472656,1479,0.08901405334472656,2583
74,right_000740.png,1785426943.626766,119,1785426943.3003926,-0.3263733386993408,1499,0.07857513427734375,2782
75,right_000750.png,1785426947.606766,121,1785426947.5060031,-0.10076284408569336,1519,0.09650301933288574,2209
76,right_000760.png,1785426951.620766,122,1785426951.50465,-0.11611580848693848,1539,0.08363604545593262,2362
77,right_000770.png,1785426955.635766,126,1785426955.5046809,-0.13108515739440918,1559,0.06961894035339355,2644
78,right_000780.png,1785426959.615766,132,1785426959.902047,0.28628087043762207,1579,0.08482646942138672,2633
79,right_000790.png,1785426963.629766,136,1785426961.5051672,-2.124598741531372,1599,0.07192420959472656,2139
80,right_000800.png,1785426967.610766,136,1785426961.5051672,-6.10559868812561,1619,0.09119915962219238,2341
81,right_000810.png,1785426971.625766,136,1785426961.5051672,-10.120598793029785,1631,-0.3944389820098877,7
82,right_000820.png,1785426975.605766,136,1785426961.5051672,-14.100598812103271,1645,0.09934854507446289,2312
83,right_000830.png,1785426979.619766,136,1785426961.5051672,-18.114598751068115,1665,0.07946395874023438,2373
84,right_000840.png,1785426983.633766,136,1785426961.5051672,-22.12859869003296,1685,0.06761956214904785,2550
85,right_000850.png,1785426987.613766,136,1785426961.5051672,-26.108598709106445,1705,0.08842182159423828,2788
86,right_000860.png,1785426991.628766,136,1785426961.5051672,-30.12359881401062,1725,0.07501792907714844,2744
87,right_000870.png,1785426995.608766,136,1785426961.5051672,-34.103598833084106,1745,0.09642243385314941,2319
88,right_000880.png,1785426999.623766,136,1785426961.5051672,-38.1185986995697,1765,0.07840466499328613,2484
89,right_000890.png,1785427003.604766,136,1785426961.5051672,-42.09959864616394,1785,0.0957174301147461,2962
90,right_000900.png,1785427007.617766,136,1785426961.5051672,-46.11259865760803,1805,0.08403420448303223,2680
91,right_000910.png,1785427011.631766,136,1785426961.5051672,-50.126598834991455,1825,0.07053112983703613,2902
92,right_000920.png,1785427015.612766,136,1785426961.5051672,-54.10759878158569,1845,0.0920114517211914,2444
93,right_000930.png,1785427019.659766,136,1785426961.5051672,-58.15459871292114,1865,0.04588460922241211,2413
94,right_000940.png,1785427023.606766,136,1785426961.5051672,-62.10159873962402,1885,0.09698152542114258,2731
95,right_000950.png,1785427027.620766,136,1785426961.5051672,-66.11559867858887,1905,0.08574533462524414,1529
96,right_000960.png,1785427031.6347659,136,1785426961.5051672,-70.12959861755371,1925,0.04929351806640625,1138
97,right_000970.png,1785427035.615766,136,1785426961.5051672,-74.11059880256653,1945,0.08614873886108398,1146
98,right_000980.png,1785427039.629766,136,1785426961.5051672,-78.12459874153137,1965,0.0738532543182373,1161
